impact,data,Snowden's documents and information also revealed that the NSA had secretly broken into the communications links between data centers across the world, allowing it to download data on internet communication — more than 180 million records in one month alone — and store it at the agency's headquarters in Fort Meade, Maryland [source: Gelman and Soltani].
actor,venezuelan,The sanctions were in response to repression during the 2014 Venezuelan protests and the 2017 Venezuelan protests, and activities during the 2017 Venezuelan Constituent Assembly election and the 2018 Venezuelan presidential election.
actor,venezuelan,As of March 2018, the Washington Office on Latin America said 78 Venezuelans associated with Maduro had been sanctioned by several countries.
impact,venezuelan,David Smolansky in Public Radio International said the sanctions targeted Maduro and Chavismo "elites" while having little impact on average Venezuelans.
event,venezuelan,[4]  Beginning in January 2019, during the Venezuelan presidential crisis, the United States applied additional economic sanctions in the petroleum, gold, mining, food and banking industries.
impact,venezuelan,[5][6] In April 2019, Human Rights Watch and Johns Hopkins Bloomberg School of Public Health published a joint report noting that most early sanctions did not target the Venezuelan economy in any way,[7] adding that sanctions imposed in 2019 could worsen the situation, but that "the crisis precedes them".
actor,chavez,[2]  History and legislation [ edit ]  Hugo Carvajal in 2016, former head of intelligence, confidante of Chávez, sanctioned by the U.S. in 2008, arrested in Spain in 2019  The United States has been concerned about Venezuelan narcotics trafficking since 2005 and its lack of cooperation in combatting terrorism since 2006.
actor,chavez,[10]  In 2011, four Hugo Chávez allies that included a general, two politicians, and an intelligence official were sanctioned for allegedly helping FARC obtain weapons and smuggle drugs.
actor,chavez,[36] The individuals sanctioned included Francisco Ameliach and Adán Chávez, the brother of Hugo Chávez.
ignore,chavez,[111] When Chávez was elected, Venezuela was producing 3.
actor,chavez,[citation needed] However, tensions increased after the socialist President Hugo Chávez assumed elected office in 1999.
actor,state,Sanctions in Venezuela  Venezuela Countries that introduced sanctions European Union-countries that have collectively introduced sanctions Non-EU European countries that aligned with EU sanctions Countries introducing entry bans on Maduro government officials A map of countries that have introduced sanctions against Venezuela in response to the outgoing crisis in Venezuela  During the crisis in Venezuela, governments of the United States, the European Union, Canada, Mexico, Panama and Switzerland applied individual sanctions against people associated with the administration of Nicolás Maduro.
ignore,state,[3] The Washington Post stated that "the deprivation long predates recently imposed US sanctions".
actor,state,[4]  Beginning in January 2019, during the Venezuelan presidential crisis, the United States applied additional economic sanctions in the petroleum, gold, mining, food and banking industries.
ignore,state,A report published by the United Nations High Commissioner for Human Rights stated that although the "pervasive and devastating economic and social crisis began before the imposition of the first economic sanctions", the new sanctions could worsen the situation.
actor,state,[7]  United States [ edit ]  Through April 2019, the U.S. has sanctioned more than 150 companies, vessels and individuals, in addition to revoking visas of 718 individuals associated with Maduro.
actor,united,Sanctions in Venezuela  Venezuela Countries that introduced sanctions European Union-countries that have collectively introduced sanctions Non-EU European countries that aligned with EU sanctions Countries introducing entry bans on Maduro government officials A map of countries that have introduced sanctions against Venezuela in response to the outgoing crisis in Venezuela  During the crisis in Venezuela, governments of the United States, the European Union, Canada, Mexico, Panama and Switzerland applied individual sanctions against people associated with the administration of Nicolás Maduro.
actor,united,[4]  Beginning in January 2019, during the Venezuelan presidential crisis, the United States applied additional economic sanctions in the petroleum, gold, mining, food and banking industries.
actor,united,A report published by the United Nations High Commissioner for Human Rights stated that although the "pervasive and devastating economic and social crisis began before the imposition of the first economic sanctions", the new sanctions could worsen the situation.
actor,united,[7]  United States [ edit ]  Through April 2019, the U.S. has sanctioned more than 150 companies, vessels and individuals, in addition to revoking visas of 718 individuals associated with Maduro.
actor,united,[2]  History and legislation [ edit ]  Hugo Carvajal in 2016, former head of intelligence, confidante of Chávez, sanctioned by the U.S. in 2008, arrested in Spain in 2019  The United States has been concerned about Venezuelan narcotics trafficking since 2005 and its lack of cooperation in combatting terrorism since 2006.
actor,united state,Sanctions in Venezuela  Venezuela Countries that introduced sanctions European Union-countries that have collectively introduced sanctions Non-EU European countries that aligned with EU sanctions Countries introducing entry bans on Maduro government officials A map of countries that have introduced sanctions against Venezuela in response to the outgoing crisis in Venezuela  During the crisis in Venezuela, governments of the United States, the European Union, Canada, Mexico, Panama and Switzerland applied individual sanctions against people associated with the administration of Nicolás Maduro.
actor,united state,[4]  Beginning in January 2019, during the Venezuelan presidential crisis, the United States applied additional economic sanctions in the petroleum, gold, mining, food and banking industries.
actor,united state,[7]  United States [ edit ]  Through April 2019, the U.S. has sanctioned more than 150 companies, vessels and individuals, in addition to revoking visas of 718 individuals associated with Maduro.
actor,united state,[2]  History and legislation [ edit ]  Hugo Carvajal in 2016, former head of intelligence, confidante of Chávez, sanctioned by the U.S. in 2008, arrested in Spain in 2019  The United States has been concerned about Venezuelan narcotics trafficking since 2005 and its lack of cooperation in combatting terrorism since 2006.
actor,united state,In 2008, Executive Order 13224 (EO 13224) aimed to reduce terrorist funding in Venezuela via sanctions, and the United States Department of the Treasury has used the Foreign Narcotics Kingpin Designation Act (Kingpin Act) to sanction at least 22 Venezuelans, including several current and former government officials.
actor,nicolas maduro,Sanctions in Venezuela  Venezuela Countries that introduced sanctions European Union-countries that have collectively introduced sanctions Non-EU European countries that aligned with EU sanctions Countries introducing entry bans on Maduro government officials A map of countries that have introduced sanctions against Venezuela in response to the outgoing crisis in Venezuela  During the crisis in Venezuela, governments of the United States, the European Union, Canada, Mexico, Panama and Switzerland applied individual sanctions against people associated with the administration of Nicolás Maduro.
actor,nicolas maduro,[32] The day after the election, the US sanctioned Nicolás Maduro, freezing his assets, banning United States citizens from dealing with Maduro and barring him from entering the United States, stating "These sanctions come a day after the Maduro government held elections for a National Constituent Assembly that aspires illegitimately to usurp the constitutional role of the democratically elected National Assembly, rewrite the constitution, and impose an authoritarian regime on the people of Venezuela".
ignore,ubi,UBI was proposed to address the present and future job losses stemming from technological innovation.
ignore,ubi,UBI is still experimental in several countries, including the United States.
ignore,ubi,UBI’s proponents see it as an answer to a fundamentally changed employment market.
ignore,ubi,Universal basic income (UBI) is defined as “a periodic cash payment delivered to all on an individual basis without means test or work requirement”.
ignore,ubi,One of the few large-scale UBI programs in the world today exists in the state of Alaska, where a state-owned oil fund established in 1982 pays an annual dividend between $1000 and $2000 to every person living in the state.
ignore,universal,A universal basic income is a government guarantee that each citizen receives a minimum income.
ignore,universal,The Purpose of Universal Basic Income  In 1967, Martin Luther King Jr. said a guaranteed income would abolish poverty.
ignore,universal,Elon Musk said robotics will take away most people’s jobs, so a universal income is the only solution.
ignore,universal,In 2016, Switzerland voted against universal income.
ignore,universal,﻿﻿ They suggest 10 to 12% of GDP go directly to the universal income payments.
impact,job,It’s created a lot of part-time, contract, and temporary jobs.
impact,job,﻿﻿ Artificial intelligence will take too many jobs from people.
impact,job,Elon Musk said robotics will take away most people’s jobs, so a universal income is the only solution.
impact,job,Free income may disincentivize people to get jobs, and make work seem optional.
impact,benefit,A 1990 study revealed that 40% of benefits were paid to families who weren't eligible for the EITC.
actor,country,Since their Independence, the two countries have fought three major wars, one undeclared war and have been involved in numerous armed skirmishes and military standoffs.
actor,country,[11] Despite those efforts, relations between the countries have remained frigid, following repeated acts of cross-border terrorism.
actor,country,[12]  In August 2019, following the approval of the Jammu and Kashmir Reorganisation Bill in the Indian Parliament, which revoked the special status of Jammu and Kashmir,[13][14] further tension was brought between the two countries, with Pakistan downgrading their diplomatic ties, closing its airspace and suspending bilateral trade with India.
actor,country,Both countries accused each other of not providing adequate security to the minorities emigrating through their territory.
actor,country,This served to increase tensions between the newly-born countries.
event,military,Relations between the two states have been defined by the violent partition of British India in 1947, the Kashmir conflict, and the numerous military conflicts fought between the two nations.
event,military,Since their Independence, the two countries have fought three major wars, one undeclared war and have been involved in numerous armed skirmishes and military standoffs.
actor,military,[5] In September 2016, a terrorist attack on an Indian military base in Indian-administered Kashmir, the deadliest such attack in years, killed 19 Indian Army soldiers.
event,military,The attack sparked a military confrontation across the Line of Control, with an escalation in ceasefire violations and further militant attacks on Indian security forces.
actor,military,Backed by Pakistani paramilitary forces, Pashtun Mehsud tribals[27] invaded Kashmir in October 1947 under the code name "Operation Gulmarg" to seize Kashmir.
actor,government,After a brief thaw following the election of new governments in both nations, bilateral discussions again stalled after the 2016 Pathankot attack.
actor,government,[6][7] Notably, following the 2019 Pulwama attack, the Indian government revoked Pakistan's most favoured nation trade status, which it had granted to Pakistan in 1996.
actor,government,[citation needed]  Since the election of new governments in both India and Pakistan in the early 2010s, some attempts have been made to improve relations, in particular developing a consensus on the agreement of Non-Discriminatory Market Access on Reciprocal Basis (NDMARB) status for each other, which will liberalize trade.
actor,government,The government of India gave Pakistan time to void the accession and hold a plebiscite in Junagadh to pre-empt any violence in Gujarat.
actor,government,Samaldas Gandhi formed a government-in-exile, the Arzi Hukumat (in Urdu: Arzi: Transitional, Hukumat: Government) of the people of Junagadh.
event,relation,Often acrimonious bilateral relations in South Asia  Relations between India and Pakistan have been complex and largely hostile due to a number of historical and political events.
event,relation,Relations between the two states have been defined by the violent partition of British India in 1947, the Kashmir conflict, and the numerous military conflicts fought between the two nations.
event,relation,Soon after their independence, India and Pakistan established diplomatic relations but the violent partition and numerous territorial claims would overshadow their relationship.
event,relation,There have been numerous attempts to improve the relationship�notably, the Shimla summit, the Agra summit and the Lahore summit.
actor,india pakistan,Often acrimonious bilateral relations in South Asia  Relations between India and Pakistan have been complex and largely hostile due to a number of historical and political events.
actor,india pakistan,Northern India and Pakistan somewhat overlap in areas of certain demographics and shared lingua francas (mainly Punjabi and Hindustani).
actor,india pakistan,Soon after their independence, India and Pakistan established diplomatic relations but the violent partition and numerous territorial claims would overshadow their relationship.
actor,india pakistan,[citation needed]  Since the election of new governments in both India and Pakistan in the early 2010s, some attempts have been made to improve relations, in particular developing a consensus on the agreement of Non-Discriminatory Market Access on Reciprocal Basis (NDMARB) status for each other, which will liberalize trade.
actor,india pakistan,[9] Both India and Pakistan are members of the South Asian Association for Regional Cooperation and its South Asian Free Trade Area.
actor,united state,Hostilities between the two countries ended after a United Nations-mandated ceasefire was declared following diplomatic intervention by the Soviet Union and the United States, and the subsequent issuance of the Tashkent Declaration.
actor,united state,The United States and its allies feared direct Soviet involvement in Afghanistan and began aiding Pakistan's support for the Afghan Mujaheddin, in hopes of crippling the Soviet Union.
actor,united state,[37] Pakistan tried to deny any responsibility,[37][38] but United States President George W. Bush confronted Pakistani Prime Minister Yousuf Raza Gilani with evidence and warned him that in the case of another such attack he would have to take "serious action".
actor,united state,[39]  Pakistan has been accused by India, Afghanistan, the United States,[40][41] and the United Kingdom,[42] of involvement in terrorism in Kashmir and Afghanistan.
actor,united state,[86]  2010s  In December 2010, several Pakistani newspapers published stories about India's leadership and relationship with militants in Pakistan that the papers claimed were found in the United States diplomatic cables leak.
actor,pakistan india,After weeks of intense fighting between Pakistan and India, Pakistani leaders and the Indian Prime Minister Nehru declared a ceasefire and sought U.N. arbitration with the promise of a plebiscite.
actor,pakistan india,After a Pakistani military operation and a genocide on Bengalis in December 1971, following a political crisis in East Pakistan, the situation soon spiralled out of control in East Pakistan and India intervened in favour of the rebelling Bengali populace.
actor,pakistan india,Talks and other confidence building measures  After the 1971 war, Pakistan and India made slow progress towards the normalization of relations.
actor,pakistan india,The Prime Ministers of Pakistan and India met twice and the foreign secretaries conducted three rounds of talks.
actor,pakistan india,Pakistan and India have also decided to co-operate on economic fronts.
event,nuclear weapon,[73][74][75][76]  Weapons of mass destruction  India has a long history of development of nuclear weapons.
event,nuclear weapon,[77] Decisions on the development of nuclear weapons were made by Indian political leaders after the Chinese invasion and territorial annexation of northern India.
event,nuclear weapon,In 1967, India's nuclear program was aimed at the development of nuclear weapons, with Indira Gandhi carefully overseeing the development of weapons.
event,nuclear weapon,Kargil is the first armed conflict between the two neighbours since they officially conducted nuclear weapons tests.
event,nuclear weapon,Concerns  The United States has identified South Asia as an epicenter of terrorism and religious extremism and therefore has an interest in ensuring regional stability, preventing nuclear weapons proliferation, and minimizing the potential of a nuclear war between India and Pakistan.
actor,president pervez musharraf,In 2002, India claimed again that terrorists from Jammu and Kashmir were infiltrating into India, a claim denied by Pakistan President Pervez Musharraf, who claimed that such infiltration had stopped�India's spokesperson for the External Affairs Ministry did away with Pakistan's claim, calling it "terminological inexactitude".
actor,president pervez musharraf,2000s  In 2001, a summit was called in Agra; Pakistani President Pervez Musharraf turned up to meet Indian Prime Minister Atal Behari Vajpayee.
actor,president pervez musharraf,[3] Finally, the framework for negotiations of the Agra treaty began with talks in New Delhi between President Pervez Musharraf and Prime Minister Atal Bihari Vajpayee in July 2001.
actor,president pervez musharraf,[6] First, the Vajpayee government did not trust President Pervez Musharraf and the establishment that he represents in Delhi.
actor,president pervez musharraf,In July, Pakistani President Pervez Musharraf and Indian Prime Minister Atal Behari Vajpayee meet for a two-day summit in the Indian city of Agra.
event,samjhauta express bombing,The 2007 Samjhauta Express bombings, which killed 68 civilians (most of whom were Pakistani), was also a crucial point in relations.
event,samjhauta express bombing,2007 Samjhauta Express bombings  The 2007 Samjhauta Express bombings was a terrorist attack targeted on the Samjhauta Express train on 18 February.
event,samjhauta express bombing,2011 - In January, Indian Home Secretary GK Pillai says India will share information with Pakistan regarding the 2001 Samjhauta Express bombing.
location,status jammu kashmir,[12]  In August 2019, following the approval of the Jammu and Kashmir Reorganisation Bill in the Indian Parliament, which revoked the special status of Jammu and Kashmir,[13][14] further tension was brought between the two countries, with Pakistan downgrading their diplomatic ties, closing its airspace and suspending bilateral trade with India.
location,status jammu kashmir,In August 2019, following a deployment of tens of thousands of additional troops and paramilitary forces to the region, the Indian government moved to revoke Article 370 of the Indian constitution, removing the special status of Jammu and Kashmir.
actor,prime minister nawaz sharif,In November 2015, the new Indian Prime Minister, Narendra Modi and Pakistani Prime Minister Nawaz Sharif agreed to the resumption of bilateral talks; the following month, Prime Minister Modi made a brief, unscheduled visit to Pakistan while en route to India, becoming the first Indian Prime Minister to visit Pakistan since 2004.
actor,prime minister nawaz sharif,2014 - On May 27, Indian Prime Minister Narendra Modi holds talks with Pakistan's Prime Minister Nawaz Sharif in New Delhi.
actor,prime minister nawaz sharif,In 2014, after India�s then newly elected Prime Minister Modi invited then Pakistani Prime Minister Nawaz Sharif to attend his inauguration, there were hopes that Modi's government would pursue meaningful peace negotiations with Pakistan.
actor,prime minister nawaz sharif,Three-time former prime minister Nawaz Sharif, who was in jail after being convicted on corruption charges, was allowed to travel abroad for treatment after his health deteriorated.
actor,prime minister nawaz sharif,)    Pakistani Prime Minister Nawaz Sharif  Today we have evened the score with India.
actor,indian prime minister atal,2000s  In 2001, a summit was called in Agra; Pakistani President Pervez Musharraf turned up to meet Indian Prime Minister Atal Behari Vajpayee.
actor,indian prime minister atal,[6] In India alone, it was widely felt that it was Musharraf who sabotaged joint peace efforts of Pakistan Prime minister Navaz Sharif and Indian Prime Minister Atal Bihari Vajpayee at the Lahore Summit in 1999.
actor,indian prime minister atal,1999 - Indian Prime Minister Atal Bihari Vajpayee meets with Nawaz Sharif, his Pakistani counterpart, in Lahore.
actor,indian prime minister atal,In July, Pakistani President Pervez Musharraf and Indian Prime Minister Atal Behari Vajpayee meet for a two-day summit in the Indian city of Agra.
actor,indian prime minister atal,Indian Prime Minister Atal Vajpayee  The [non proliferation] treaties are discriminatory and hypocritical.
event,2001 indian parliament attack,The 2001 Indian Parliament attack almost brought the two nations to the brink of a nuclear war.
event,2001 indian parliament attack,2001 Indian Parliament attack  The 2001 Indian Parliament attack was an attack at the Parliament of India in New Delhi on 13 December 2001, during which fourteen people, including the five men who attacked the building, were killed.
event,2001 indian parliament attack,The military buildup was initiated by India responding to a 2001 Indian Parliament attack and the 2001 Jammu and Kashmir legislative assembly attack.
actor,prime minister atal bihari,[3] Finally, the framework for negotiations of the Agra treaty began with talks in New Delhi between President Pervez Musharraf and Prime Minister Atal Bihari Vajpayee in July 2001.
actor,prime minister atal bihari,[4]  The most important agenda of Prime Minister, Atal Bihari Vajpayee, in the Indo-Pak summit was to stress upon the economic betterment of the people of Kashmir, for which he invited a dialogue with the All Parties Hurriyat Conference.
event,disclose,A federal judge has ordered Glenn Beck to disclose the names of confidential sources he used in his reporting that a Saudi Arabian man was involved in the Boston Marathon bombing.
ignore,disclose,When can a government official require a reporter to disclose sources or information?
event,disclose,Roughly 30 states have passed statutes, called shield laws, allowing journalists to refuse to disclose or testify about confidential or unpublished information, including the identity of sources.
event,disclose,The short answer: If a journalist makes such a promise to a source in return for information, and the journalist later discloses the source�s identity, the journalist could be sued successfully on a breach-of-promise theory.
actor,government,[27]  American and Saudi Arabian government statements [ edit ]  The White House hailed the deal as a "significant expansion" of the two nations' "security relationships".
actor,government,[42][43]  Saudi Arabia � The Government of Saudi Arabia praised the deal, and it stated that it is a turning point in Saudi�American relations.
actor,government,[52]  Through October 2018, the Saudi government had purchased $14.
actor,government,In spite of repeated incidents of mass casualties, both countries have sought to press ahead with sales of their weaponry  This article is more than 6 months old  This article is more than 6 months old  Selling arms to Saudi Arabia has been a hard drug for western governments to give up.
actor,government,In June, the UK court of appeal ruled such sales unlawful, saying government ministers, including the current prime minister, Boris Johnson, had signed off on arms exports to Saudi without properly assessing the risk to civilians.
event,emergency,The administration has seen pushback from both sides of the aisle since U.S. Secretary of State Mike Pompeo, in May, cited an increased threat from Iran to declare an emergency and waive the congressional review process for those sales.
event,emergency,The resolutions came in response to the administration�s use of emergency powers to bypass the normal congressional notification process on 22 arms sales agreements.
event,emergency,The declaration allowed the president to bypass Menendez's hold and a formal 30-day review process, using authority under the AECA to expedite arms sales to foreign governments if the president declares that �an emergency exists which requires the proposed sale in the national security interest of the United States�.
event,emergency,That emergency authority has been used three times in the past, according to R. Clarke Cooper, assistant secretary of state for political-military affairs, during a House Foreign Affairs Committee hearing on June 12.
event,emergency,At that hearing, Chairman Eliot Engel (D-N.Y.) flatly declared that �there is no emergency,� saying that �a real emergency would require weapons that can be delivered immediately.
actor,iran,The transfer was widely seen as a counterbalance against the influence of Iran in the region[5][6] and a "significant" and "historic" expansion of United States relations with Saudi Arabia.
actor,iran,[11][12] Saudi Arabia's security forces have relied on U.S. equipment, training, and service support for decades, officially as a counterbalance to Iranian military influence in the region, and to help protect the Kingdom from extremist attacks.
actor,iran,[28] The United States Secretary of State Rex Tillerson described the deal as "historic" and said that it would counter Iran, and urged them to halt support of destabilizing forces in the Middle East,[29][30] although he hinted the United States would be open to discussions.
event,nuclear,Federal subsidies to support non-fossil fuels (renewable energy and nuclear power) in fiscal year 2016 totaled $7.
event,nuclear,Non-Fossil Fuel Production and Subsidies  In FY 2016, 93 percent of federal energy fuel subsidies were associated with renewable and nuclear energy while only 7 percent were associated with fossil fuels.
event,nuclear,)  Of the non-fossil fuel share of production, nuclear power contributed 10 percent, followed by biomass at 5.
event,nuclear,Subsidies to nuclear power contribute to unique environmental and safety issues, related mostly to the risk of high-level environmental damage, although nuclear power contributes positively to the environment in the areas of air pollution and climate change.
event,nuclear,8 US cents per kWh of energy they produce (the estimate of fossil fuel subsidies applies only to consumer subsidies and only within non-OECD countries), nuclear energy receives 1.
event,renewable,Federal subsidies to support non-fossil fuels (renewable energy and nuclear power) in fiscal year 2016 totaled $7.
event,renewable,The EIA noted that those subsidies do not include state and local subsidies, mandates, or incentives that in many cases are quite substantial, especially for renewable energy.
event,renewable,For example, about three fifths of the states have “renewable portfolio standards” which are actually mandated levels of renewable energy production.
event,renewable,Many states also waive tax payments specifically for renewable energy or offer other sweeteners for renewable energy production.
event,technology,At a time when renewable energy technology is increasingly cost-competitive with fossil power generation, and a coordinated strategy must be developed to mitigate climate change, the broader utility of fossil fuel subsidies is being questioned.
event,technology,1288): Introduced in May 2019 and sponsored by Senator Wyden (D-OR), S.1288 amends the Internal Revenue Code to replace the 44 existing energy tax credits with three technology neutral tax provisions that would incentivize the use of low and zero-emissions technologies, including clean electricity, clean transportation and energy efficiency.
actor,technology,Federal funding for fossil fuels is largely administered by the Department of Energy (DOE) through three initiatives: the Office of Advanced Fossil Energy R&D, the Loan Guarantee Program, and the National Energy Technology Lab.
ignore,technology,CCS technologies capture carbon dioxide from power and industrial sectors and store it deep underground in geological formations, or turn it into useable products, such as fuels or chemicals.
event,technology,The funds primarily supported R&D of carbon capture and storage technologies.
event,policy,The 116th Congress is weighing potential policy mechanisms to reduce the impact of climate change and cap global warming to an internationally agreed upon target of no more than 2 degrees Celsius (3.
event,policy,Indeed, the subsidies undermine policy goals of reducing greenhouse gas emissions from fossil fuels.
event,policy,Public subsidies should be consistent with an overarching, coordinated, and coherent energy policy that not only considers the supply of affordable, reliable power, but also public health impacts, climate change, and environmental degradation.
event,policy,Fossil fuel externalities, including societal costs, environmental costs, and health costs, are largely overlooked in the process of incentivizing fossil fuel production through policy mechanisms.
event,policy,The SCC is used as a metric to inform federal decision-making on environmental policies, as well as a factor to consider in cost-benefit analyses of such policies.
actor,federal government,At the request of the Secretary of Energy, the Energy Information Administration (EIA), an independent agency of the U.S. Department of Energy, evaluated the energy-related subsidies that the federal government provided in fiscal year 2016, updating a study that it did for fiscal years 2013 and 2010.
actor,federal government,U.S. Tax Subsidies to the Fossil Fuel Industry    The federal government provides numerous subsidies, both direct and indirect, to the fossil fuel industry.
actor,federal government,Efforts to make coal more economical and cleaner—despite declining natural gas and renewable energy prices—have been a particular focus of the federal government’s funding, as has Carbon Capture and Storage (CCS).
actor,federal government,[32]  Canada [ edit ]  Fossil fuel subsidies [ edit ]  The Canadian federal government offers subsidies for fossil fuel exploration and production and Export Development Canada regularly provides financing to oil and gas companies.
actor,federal government,[34] Also in 2017, the federal government reformed the CEE so that exploration expenses may only be deducted through it if the exploration is unsuccessful.
ignore,tax credit,Both wind and solar continue to be eligible for tax credits—production tax credit for wind and the investment tax credit for solar.
event,tax credit,These subsidies create a series of tax credits for energy investments, particularly for coal.
ignore,tax credit,Nonconventional Fuels Tax Credit (Internal Revenue Code § 45.
event,tax credit,Sunsetted in 2014, this tax credit was created by the Crude Oil Windfall Profit Tax Act of 1980 to promote domestic energy production and reduce dependence on foreign oil.
ignore,tax credit,Foreign Tax Credit (26 U.S. Code § 901.
event,solar pv,Solar PV technology was born in the United States, when Daryl Chapin, Calvin Fuller, and Gerald Pearson at Bell Labs first demonstrated the silicon solar photovoltaic cell in 1954.
event,solar pv,As it turned out, solar PV did make economic sense in one market segment: aerospace.
event,solar pv,[56] By 1965, NASA was using almost a million solar PV cells.
event,solar pv,[56] Beginning in the 1970s, as costs were declining, manufacturers began producing solar PV cells for terrestrial applications.
event,solar pv,Solar PV found a new niche in areas distant from power lines where electricity was needed, such as oil rigs and Coast Guard lighthouses.
actor,international agency,Several international institutions, including the G20, the International Energy Agency, and the Organization of Economic Cooperation and Development (OECD), have called for the phase-out of fossil fuel subsidies.
actor,international agency,[13][14] Meanwhile, the International Energy Agency has estimated global fossil fuel subsidies as ranging from $300 to $600 billion per year between 2008 and 2015.
actor,international agency,[15]  According to the International Energy Agency, the elimination of fossil fuel subsidies worldwide would be one of the most effective ways of reducing greenhouse gases and battling global warming.
actor,international agency,[18] According to Fatih Birol, Chief Economist at the International Energy Agency, without a phasing out of fossil fuel subsidies, countries will not reach their climate targets.
actor,international agency,[18]  IEA position on subsidies [ edit ]  According to International Energy Agency (IEA) (2011) energy subsidies artificially lower the price of energy paid by consumers, raise the price received by producers or lower the cost of production.
impact,global carbon emission,According to the IMF, "fossil fuels account for 85 percent of all global subsidies," and reducing these subsidies "would have lowered global carbon emissions by 28 percent and fossil fuel air pollution deaths by 46 percent, and increased government revenue by 3.
impact,global carbon emission,Eliminating fossil fuel subsidies would greatly reduce global carbon emissions[2][3][4] and would reduce the health risks of air pollution.
impact,global carbon emission,[2] The authors estimated that the elimination of "subsidies would have reduced global carbon emissions in 2013 by 21% and fossil fuel air pollution deaths 55%, while raising revenue of 4%, and social welfare by 2.
impact,global carbon emission,Eliminating fossil fuel subsidies would greatly reduce global carbon emissions[2][3][4] and would reduce the health risks of air pollution.
impact,global carbon emission,[2] The authors estimated that the elimination of "subsidies would have reduced global carbon emissions in 2013 by 21% and fossil fuel air pollution deaths 55%, while raising revenue of 4%, and social welfare by 2.
actor,developing country richest,[7] Also, most benefits from fossil fuel subsidies in developing countries go to the richest 20% of households.
ignore,developing country richest,[7] Also, most benefits from fossil fuel subsidies in developing countries go to the richest 20% of households.
event,inefficient fossil fuel subsidy,In 2009, the Obama Administration and the G20 nations proposed that they end “inefficient” fossil fuel subsidies.
event,inefficient fossil fuel subsidy,2018 presents a unique opportunity to achieve real gains toward phasing out subsidies in other forums – G20 President China has committed to working with other G20 nations to set a “date certain” to phase out inefficient fossil fuel subsidies.
event,inefficient fossil fuel subsidy,[29] At their meeting in September 2009 the G-20 countries committed to "rationalize and phase out over the medium term inefficient fossil fuel subsidies that encourage wasteful consumption".
event,inefficient fossil fuel subsidy,We have committed to phasing out inefficient fossil fuel subsidies by 2025, and we stand by that commitment".
event,inefficient fossil fuel subsidy,[36] In 2016, Canada committed to “phase out inefficient fossil fuel subsidies by 2025” in line with commitments made with G20 and G7 countries,[37] although a 2017 report from the Office of the Auditor-General found that little work had been done to define this goal and establish a timeline for achieving it.
ignore,report overseas development institute,[16] According to a 2019 report by the Overseas Development Institute, the G20 governments still provide billions of dollars of support for the production and consumption of fossil fuels, spending at least $63.
ignore,report overseas development institute,A 2018 report from the Overseas Development Institute, a UK-based think tank, found that Canada spent a greater proportion of its GDP on fiscal support to oil and gas production in 2015 and 2016 than any other G7 country.
event,fossil fuel exploration production,As of October 2017, Oil Change International estimates United States fossil fuel exploration and production subsidies at $20.
event,fossil fuel exploration production,[32]  Canada [ edit ]  Fossil fuel subsidies [ edit ]  The Canadian federal government offers subsidies for fossil fuel exploration and production and Export Development Canada regularly provides financing to oil and gas companies.
event,fossil fuel exploration production,[33]  In 2015 and 2016, the largest federal subsidies for fossil fuel exploration and production were the Canadian Exploration Expense (CEE), the Canadian Development Expense (CDE), and the Atlantic Investment Tax Credit (AITC).
event,fossil fuel exploration production,[33]  In 2015 and 2016, the largest federal subsidies for fossil fuel exploration and production were the Canadian Exploration Expense (CEE), the Canadian Development Expense (CDE), and the Atlantic Investment Tax Credit (AITC).
event,fossil fuel subsidy 2025,In 2016, G7 leaders urged all countries to phase out fossil fuel subsidies by 2025.
event,fossil fuel subsidy 2025,We have committed to phasing out inefficient fossil fuel subsidies by 2025, and we stand by that commitment".
event,fossil fuel subsidy 2025,[36] In 2016, Canada committed to “phase out inefficient fossil fuel subsidies by 2025” in line with commitments made with G20 and G7 countries,[37] although a 2017 report from the Office of the Auditor-General found that little work had been done to define this goal and establish a timeline for achieving it.
event,fossil fuel subsidy 2025,We have committed to phasing out inefficient fossil fuel subsidies by 2025, and we stand by that commitment".
event,fossil fuel subsidy 2025,[36] In 2016, Canada committed to “phase out inefficient fossil fuel subsidies by 2025” in line with commitments made with G20 and G7 countries,[37] although a 2017 report from the Office of the Auditor-General found that little work had been done to define this goal and establish a timeline for achieving it.
